tmID,year,average_powerRanking,average_PER,average_postPowerRanking,average_postPER,coachesPowerRanking,powerRanking2,playersAwards,playoff
ATL,9,29.633308946286974,9.870027263660058,0.0,0.0,-78.57142857142857,-56.18412232616858,0.0,Y
CHA,1,28.82943895813428,8.725966963921225,0.0,0.0,-35.714285714285715,14.69325896317472,0.0,Y
CHA,2,29.147917552413464,7.990033589190065,24.449714812085848,5.867398141647382,42.14285714285717,210.7733565833876,0.0,Y
CHA,3,26.4090792266685,11.487740829559982,15.644126526599376,3.313530161628945,13.57142857142859,173.1859350129838,0.0,Y
CHA,4,32.75454323231057,10.40823807357246,17.06861542887565,10.07176367584918,6.428571428571445,153.175325945148,0.0,N
CHA,5,26.39365555395756,7.247156039179176,0.0,0.0,28.57142857142857,105.19185119986209,0.0,N
CHA,6,26.01683862374896,7.128334732251512,0.0,0.0,-37.07983193277312,-24.16456610350572,0.0,N
CHI,7,27.72630147641636,8.537364073533395,0.0,0.0,-69.64285714285714,-59.61310465629629,0.0,N
CHI,8,28.847561513182686,9.83082264942592,0.0,0.0,10.714285714285708,76.6274548376889,1.0,N
CHI,9,29.013699201754296,7.481467040455503,0.0,0.0,-7.142857142857153,116.75531060831176,0.0,N
CLE,1,28.833835950940266,9.6283599192257,21.04121736935686,12.63610950447112,36.07142857142856,168.32151576138867,0.0,Y
CLE,2,26.22791873688178,11.024104730286586,16.06351156063422,5.296164735272898,116.42857142857144,267.9162049360989,0.0,N
CLE,3,27.848554355424103,7.51772044814785,0.0,0.0,-17.85714285714286,81.96303641147853,0.0,Y
CON,4,31.59996258652286,10.070434021888694,22.835506186903903,11.364338575243908,40.71428571428572,159.76098616404045,0.0,Y
CON,5,32.51433230000006,10.762642349225992,25.858536558481468,10.503920381327502,72.14285714285717,172.80567623057283,1.0,Y
CON,6,29.488240304472257,8.956277487641835,24.53631868445306,7.332336680685207,143.57142857142856,315.0709534030018,0.0,Y
CON,7,28.330562818338738,11.786970696853228,18.954313382198468,6.116873700850775,179.28571428571428,334.9128057295151,0.0,Y
CON,8,29.878453690761877,1.8999904254760975,21.435737363515905,9.161316519135116,23.571428571428584,192.6363806703289,0.0,Y
CON,9,29.351423380082245,12.481340389296967,16.999887762198018,6.125658452443092,100.35714285714286,222.21984183432144,0.0,N
DET,1,28.431986916261376,12.042754718292246,0.0,0.0,17.85714285714286,76.62165262486408,0.0,N
DET,2,29.946187502208275,9.085290857034185,0.0,0.0,-17.85714285714286,35.61134666795288,0.0,N
DET,3,26.2739190211644,7.284692718424095,0.0,0.0,-2.790178571428564,59.39505835971264,0.0,Y
DET,4,28.11827638853829,9.88277129448004,22.87474543232956,7.5963358653359965,221.78571428571428,324.61423335393374,2.0,Y
DET,5,24.74939728019131,6.997348749247387,15.792339121023558,5.923568339153037,14.642857142857125,162.05338023265776,0.0,Y
DET,6,28.274844915825543,8.248915993463493,9.526135469867102,4.498961266427309,-11.42857142857143,149.46825145623123,0.0,Y
DET,7,27.85514891606982,8.211901954136799,23.1520396484483,6.600321853924148,151.07142857142856,286.55185055167755,1.0,Y
DET,8,25.90833634603484,6.618980325815428,22.26115648276843,9.427424731782484,102.85714285714285,290.95322067026893,1.0,Y
DET,9,25.068800688934576,8.069677683742764,16.276502930629274,5.4927572577925785,162.14285714285714,274.68695564554275,1.0,Y
HOU,1,31.1795923782503,11.518912801462882,22.36358878515796,6.898817303035526,236.78571428571428,374.23366707593885,3.0,Y
HOU,2,29.885653737722976,8.526216619128405,18.73703671029151,6.353106123981849,22.500000000000007,203.2269893336252,1.0,Y
HOU,3,27.464981723284744,8.249306448663974,16.895580069069787,5.910960989717552,84.28571428571426,311.69556744339303,2.0,Y
HOU,4,30.965809915463197,8.20689248915394,18.300800891210457,2.3675660379922125,41.428571428571416,208.21415311137565,2.0,N
HOU,5,28.820974669686464,7.113159385560835,0.0,0.0,1.7857142857142776,99.1794892601108,0.0,Y
HOU,6,27.46530024773856,7.608617804894754,18.45271400503172,11.660096571636569,29.64285714285714,161.4199012411643,1.0,Y
HOU,7,29.734814074789558,8.854695180528422,17.3568051368824,7.130383127844142,6.428571428571445,195.81689979025265,0.0,N
HOU,8,29.9602134914008,8.853869942681165,0.0,0.0,1.7857142857142776,109.49034055187504,0.0,N
IND,1,24.56144216717452,5.594198110096784,0.0,0.0,-26.78571428571428,95.72649341802924,0.0,N
IND,2,29.90135416581737,10.13117299052103,0.0,0.0,-17.85714285714286,52.8215668027311,0.0,Y
IND,3,29.92105239035252,8.48114675842747,16.489691121051614,8.610214049451315,12.857142857142849,122.0946367321055,1.0,N
IND,4,29.174524367039755,9.609884616250955,0.0,0.0,28.57142857142857,115.97075572790872,0.0,N
IND,5,30.51112528556364,8.40171999893442,0.0,0.0,19.64285714285716,123.30637733429508,1.0,Y
IND,6,29.67848621905661,9.046294982353254,18.493892825675648,6.118919919584909,67.5,202.1957463087836,1.0,Y
IND,7,30.30076855921112,9.500392614091163,9.025300399361294,5.7744758475661335,33.21428571428572,199.4602278825804,1.0,Y
IND,8,32.82152028707566,10.593012416209648,23.242033329565874,8.318076893020525,64.64285714285714,225.75959272430964,0.0,Y
IND,9,26.688800451687666,8.44860594773462,16.686585100480908,3.694763283673528,14.642857142857125,151.98956217954472,1.0,Y
LAS,1,32.59665295592815,11.444098761080882,24.934085089934538,12.486976704439966,187.1428571428572,360.2784887966689,0.0,Y
LAS,2,33.989823026808885,12.680341218951378,27.67250299995233,8.441856507040761,225.7142857142857,376.7326290436495,2.0,Y
LAS,3,28.66977596674615,9.604051259719071,23.758511160681397,12.733024045781214,218.92857142857144,350.24487612757514,1.0,Y
LAS,4,27.33469930200982,7.930869392418692,20.508380432951416,5.848125905661882,105.7142857142857,257.2461997300492,0.0,Y
LAS,5,30.315600905368512,8.585301987263428,17.199644032734565,2.1194829926197745,42.94973544973545,287.2982154450997,2.0,Y
LAS,6,28.013260811256576,7.513930379220313,18.28683478254544,5.7507895132620686,13.928571428571423,137.88749089435925,0.0,Y
LAS,7,27.905432886235623,10.427399519603494,20.0563174314141,8.115485476975536,83.21428571428572,272.87682000156826,1.0,N
LAS,8,29.042250982430197,6.634146216890526,0.0,0.0,-25.0,46.398379695000656,0.0,Y
LAS,9,27.72144207420613,7.752626914193627,20.212416540540254,7.389359337193051,55.714285714285694,238.7589120236468,3.0,Y
MIA,1,27.34288043254636,6.24716640687915,0.0,0.0,8.92857142857143,57.09279492946333,0.0,Y
MIA,2,28.88398195419388,6.607801570295739,17.265017681842142,9.61462576055266,48.57142857142856,239.95457591470787,1.0,N
MIN,1,25.92017951446454,8.862416442812865,0.0,0.0,26.78571428571429,93.4768732790598,1.0,N
MIN,2,30.047189551263543,8.479390163139369,0.0,0.0,-1.4210854715202004e-14,90.3876045687267,0.0,N
MIN,3,26.264909869106702,7.246348128717727,0.0,0.0,-5.691964285714288,58.09707429867827,0.0,Y
MIN,4,29.07916161043528,9.942764662448749,17.6931877125478,5.23793082490673,23.571428571428584,180.12868097738388,0.0,Y
MIN,5,27.56340605668886,8.950899125850853,13.99323743103252,-7.761159830457991,56.428571428571445,168.61683538868755,0.0,N
MIN,6,24.014149449916253,5.402514640866705,0.0,0.0,10.714285714285708,105.18761730981184,0.0,N
MIN,7,30.03256901657837,10.700025592244003,0.0,0.0,-3.886554621848732,49.20067180352593,1.0,N
MIN,8,30.120846035286508,9.723634030360063,0.0,0.0,-25.0,56.36529191103349,0.0,N
MIN,9,26.479442063695902,10.072233971825115,0.0,0.0,28.57142857142857,129.45961283749668,1.0,N
NYL,1,27.61438718816316,6.345946881342157,22.955731668650134,11.559513116013706,80.0,262.0935638909032,1.0,Y
NYL,2,25.75836535836235,11.535943553230425,16.19298439711872,-0.8063753460760216,71.78571428571428,253.08839633325564,0.0,Y
NYL,3,28.883381281668843,9.643435514125686,28.04174806709409,11.155251398293816,42.14285714285717,214.63441084820167,0.0,N
NYL,4,29.935117526918024,9.760824802963462,0.0,0.0,28.57142857142857,163.92289610845995,0.0,Y
NYL,5,30.863802677651268,8.996669034704398,21.495027959516836,11.059225594157155,14.184981684981688,170.62750092738685,0.0,Y
NYL,6,25.89493679976835,6.52874823887399,10.48986667570632,2.529691297346764,6.428571428571445,178.38013396393808,0.0,N
NYL,7,27.599047989290657,8.348289216032352,0.0,0.0,-16.07142857142857,32.84890808237444,0.0,Y
NYL,8,27.709805585476712,7.731839130801462,17.34996178564,4.322477501405827,5.714285714285708,136.40841317409402,1.0,Y
NYL,9,30.84133367476304,11.399209727677832,21.31065857477431,7.512318848436952,46.78571428571428,172.6536521244033,0.0,N
ORL,1,27.22147218444845,9.280475177289564,15.97755714342148,4.745042827981255,12.857142857142849,133.9323329103066,0.0,N
ORL,2,29.278557513456796,7.550836455534945,0.0,0.0,8.92857142857143,80.04798304205113,0.0,N
PHO,1,28.53141451616009,9.251660289032074,16.10003392704532,5.434559635643197,31.428571428571416,195.9501761519913,0.0,N
PHO,2,23.98252722033415,7.082317609573322,0.0,0.0,8.92857142857143,88.83868785355929,0.0,N
PHO,3,26.141507355007786,7.538995237524182,0.0,0.0,-10.60267857142857,19.266336801915514,0.0,N
PHO,4,19.713241040519296,5.189181743228618,0.0,0.0,-42.85714285714285,-5.7747176778135065,0.0,N
PHO,5,27.518981330913117,9.223477608039548,0.0,0.0,37.49999999999999,139.75347212700402,1.0,N
PHO,6,29.702430275122424,10.17748810419488,0.0,0.0,28.57142857142857,152.45908888342797,0.0,N
PHO,7,27.943382613893263,11.614723418210223,0.0,0.0,46.428571428571445,173.35537929217423,0.0,Y
PHO,8,30.942955263130838,11.30277856687725,24.33151808623874,7.529518990412651,171.07142857142856,247.93658247157285,1.0,N
PHO,9,28.37183556610182,11.225962567042124,0.0,0.0,28.57142857142857,133.1985005933618,0.0,Y
POR,1,27.80249396558937,8.157636251371871,0.0,0.0,-17.85714285714286,41.6658219429107,0.0,N
POR,2,27.165305104747446,8.312090067405627,0.0,0.0,-8.92857142857143,42.071998742738806,1.0,N
SAC,1,29.40459710304599,10.876479698989044,17.968504161055723,10.360505024249884,40.35714285714286,224.8928398034847,0.0,Y
SAC,2,28.609221228622676,13.76192578441682,21.37000306417103,10.521825758801198,54.536679536679536,259.55649599797067,0.0,N
SAC,3,25.36257794366692,6.894996790904521,0.0,0.0,17.85714285714286,94.59673535464252,0.0,Y
SAC,4,30.474162448402964,9.639043068492349,23.764349509468524,4.895761385069243,29.125,186.25675039084345,0.0,Y
SAC,5,29.563857613348677,9.85104594053187,22.141406194304466,6.418778911820527,37.85714285714286,167.65417009228256,0.0,Y
SAC,6,30.783256221007,9.368518449709503,24.7974728776841,8.99885367286569,258.92857142857144,289.83683023491176,1.0,Y
SAC,7,28.8953923002149,10.044789215946505,28.52273524328369,11.009350289966214,116.07142857142856,202.16525421497155,0.0,Y
SAC,8,29.85539685194852,8.567743689855725,21.408469337501547,7.977640231964361,32.5,168.68625390102892,0.0,Y
SAC,9,27.11380227423867,9.304302991371422,18.74713957242517,5.850168757635443,23.571428571428584,100.5793014060588,0.0,N
SAS,4,30.72556865445697,6.565595533958379,0.0,0.0,-5.252100840336139,93.03455411960236,0.0,N
SAS,5,27.432411874201915,11.704683675888935,0.0,0.0,-23.319327731092443,33.15864356978225,0.0,N
SAS,6,27.246507519821588,6.550070021799896,0.0,0.0,-51.78571428571429,-16.467254640247837,0.0,N
SAS,7,31.858427877870646,10.808004640574882,0.0,0.0,1.7857142857142776,102.21749280011689,0.0,Y
SAS,8,32.41379343556827,10.402307497994585,27.300822828766364,13.671295174853643,88.57142857142856,200.189627611878,0.0,Y
SAS,9,27.14640590823968,7.063311503750608,22.379438190243352,12.001698437037954,68.57142857142856,273.32256390659484,0.0,Y
SEA,1,26.959721553872672,5.610230274771396,0.0,0.0,-53.57142857142857,-61.993958069885785,0.0,N
SEA,2,28.048587710997555,8.576536138029683,0.0,0.0,-17.85714285714286,9.511981939991712,0.0,Y
SEA,3,28.43335168676636,9.066196147445243,14.817647862624542,4.075616745446058,4.642857142857125,164.23125960930574,0.0,N
SEA,4,28.18276396121588,7.882347882177219,0.0,0.0,46.428571428571445,190.97304705359767,1.0,Y
SEA,5,30.760250567329777,10.532534874009263,26.174662056963445,10.50968252266674,127.14285714285712,211.65186481238572,1.0,Y
SEA,6,28.557661303051034,9.140251197250278,18.855558499491316,4.945734214219987,41.428571428571416,195.22613324304345,0.0,Y
SEA,7,28.46176916421211,8.294748237221908,15.944553910559682,4.5150420964156135,23.571428571428584,177.78940676646894,0.0,Y
SEA,8,27.652526331871744,7.570434760657547,14.31141476883292,7.422444650926918,-2.500000000000014,147.34058531113234,2.0,Y
SEA,9,27.67170369621528,8.86366465138484,16.21067329773712,5.732702384716258,59.28571428571428,233.1727814720326,0.0,Y
UTA,1,29.50119257929924,10.775812798978166,0.0,0.0,53.57142857142859,191.26559111222588,0.0,Y
UTA,2,28.80650894571508,7.264443110841392,14.748802249265458,9.001199926229727,17.048319327731097,212.63776366255053,0.0,Y
WAS,1,27.64936278337672,8.90469281159054,15.074854685940208,4.135642325123514,-3.3403361344537785,143.0247654901622,0.0,N
WAS,2,24.971749473912524,4.602415835127823,0.0,0.0,-17.85714285714286,61.645639367882175,0.0,Y
WAS,3,26.42846548653624,5.777708270383756,19.931162759464943,9.165258052103528,106.07142857142856,219.63771701960368,1.0,N
WAS,4,27.26495748634409,8.603835414349962,0.0,0.0,-33.928571428571416,49.98332514411384,0.0,Y
WAS,5,30.40853621144848,9.6913577451489,19.97006224512975,8.215133546961654,14.642857142857125,142.19470918397602,0.0,N
WAS,6,27.56430016028372,9.261297913969246,0.0,0.0,28.57142857142857,123.75148955658231,1.0,Y
WAS,7,31.542603385547974,12.788114329914654,14.542292429796932,4.432858292534004,6.428571428571445,171.63590573592137,0.0,N
WAS,8,28.386396889667324,9.84246796360404,0.0,0.0,36.97478991596638,121.45493847928503,0.0,N
WAS,9,24.737004950864694,6.799162344469853,0.0,0.0,-6.30252100840336,41.93032538889244,0.0,Y
